Venue,Status,Sender,h_index,academic_age,paper_domain,matching_country,replied,positive_reply
Scientific Reports,Unopened,pakistani_lums,60.0,13.0,Physical Sciences,Match Asian,0,0.0
Scientific Reports,Opened,pakistani_nyu,16.0,13.0,Health Sciences,No Match,0,0.0
Nature Communications,Opened,german,57.0,13.0,Health Sciences,No Match,0,0.0
Nature Communications,Opened,pakistani_nyu,30.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,german,,,,No Match,0,0.0
Scientific Reports,Opened,pakistani_lums,10.0,11.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,nigerian,,,,No Match,0,0.0
Scientific Reports,Opened,pakistani_lums,14.0,13.0,Life Sciences,No Match,0,0.0
Scientific Reports,Unopened,german,30.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,nigerian,9.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Unopened,german,19.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Opened,nigerian,,,,No Match,1,0.0
Scientific Reports,Unopened,nigerian,,,,No Match,0,0.0
Scientific Reports,Unopened,german,10.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_nyu,,,,No Match,0,0.0
Nature Communications,Opened,german,29.0,13.0,Health Sciences,No Match,0,0.0
Nature Communications,Opened,nigerian,7.0,13.0,Life Sciences,No Match,0,0.0
Scientific Reports,Unopened,german,35.0,13.0,Physical Sciences,No Match,0,0.0
Nature Communications,Unopened,german,30.0,12.0,Health Sciences,Match German,0,0.0
Scientific Reports,Unopened,pakistani_nyu,10.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_lums,17.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Opened,nigerian,5.0,10.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_nyu,10.0,13.0,Life Sciences,No Match,0,0.0
Scientific Reports,Unopened,german,,,,No Match,0,0.0
Scientific Reports,Unopened,pakistani_lums,5.0,4.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,nigerian,,,,No Match,0,0.0
Scientific Reports,Unopened,german,23.0,13.0,Health Sciences,No Match,0,0.0
Nature Communications,Unopened,nigerian,55.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Unopened,nigerian,34.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,nigerian,35.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_lums,,,,No Match,0,0.0
Scientific Reports,Unopened,german,23.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_lums,46.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Opened,german,30.0,11.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_lums,8.0,13.0,Health Sciences,No Match,0,0.0
Nature Communications,Unopened,german,51.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_lums,4.0,2.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_lums,7.0,13.0,Life Sciences,No Match,0,0.0
Scientific Reports,Unopened,nigerian,13.0,13.0,Life Sciences,No Match,0,0.0
Scientific Reports,Unopened,german,8.0,7.0,Life Sciences,No Match,0,0.0
Scientific Reports,Unopened,german,7.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_lums,52.0,8.0,Physical Sciences,No Match,0,0.0
Nature Communications,Opened,german,72.0,13.0,Physical Sciences,Match German,0,0.0
Scientific Reports,Unopened,pakistani_lums,,,,No Match,0,0.0
Scientific Reports,Unopened,nigerian,,,,No Match,0,0.0
Scientific Reports,Unopened,pakistani_nyu,,,,No Match,0,0.0
Scientific Reports,Unopened,nigerian,49.0,13.0,Life Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_lums,3.0,10.0,Life Sciences,Match Asian,0,0.0
Scientific Reports,Unopened,pakistani_nyu,,,,No Match,0,0.0
Scientific Reports,Unopened,nigerian,,,,No Match,0,0.0
Scientific Reports,Unopened,german,11.0,13.0,Health Sciences,No Match,0,0.0
Nature Communications,Unopened,german,,,,No Match,0,0.0
Scientific Reports,Unopened,german,24.0,11.0,Physical Sciences,No Match,0,0.0
Nature Communications,Opened,nigerian,39.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Opened,german,39.0,13.0,Physical Sciences,No Match,1,1.0
Nature Communications,Unopened,german,52.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,nigerian,5.0,10.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_nyu,11.0,13.0,Life Sciences,No Match,0,0.0
Scientific Reports,Unopened,german,57.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,nigerian,7.0,9.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Unopened,nigerian,63.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_lums,73.0,13.0,Life Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_nyu,15.0,13.0,Life Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_nyu,,,,No Match,0,0.0
Scientific Reports,Opened,pakistani_lums,17.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_nyu,13.0,9.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_lums,40.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_nyu,56.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_lums,,,,No Match,0,0.0
Scientific Reports,Unopened,german,59.0,13.0,Life Sciences,No Match,0,0.0
Scientific Reports,Opened,german,36.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Unopened,german,44.0,13.0,Life Sciences,No Match,0,0.0
Scientific Reports,Opened,nigerian,13.0,13.0,Life Sciences,No Match,0,0.0
Scientific Reports,Opened,nigerian,44.0,13.0,Life Sciences,No Match,1,1.0
Scientific Reports,Opened,german,26.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Opened,nigerian,,,,No Match,0,0.0
Scientific Reports,Opened,german,13.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_nyu,13.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Opened,nigerian,12.0,13.0,Life Sciences,No Match,0,0.0
Scientific Reports,Unopened,german,3.0,2.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,nigerian,3.0,6.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Opened,nigerian,,,,No Match,1,1.0
Scientific Reports,Unopened,pakistani_nyu,14.0,13.0,Life Sciences,No Match,0,0.0
Scientific Reports,Unopened,nigerian,12.0,13.0,Health Sciences,No Match,0,0.0
Nature Communications,Unopened,german,57.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Opened,nigerian,13.0,13.0,Life Sciences,No Match,0,0.0
Scientific Reports,Opened,german,17.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_lums,12.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Opened,nigerian,29.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_nyu,8.0,7.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_nyu,12.0,13.0,Health Sciences,No Match,1,0.0
Scientific Reports,Opened,pakistani_lums,50.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_lums,1.0,2.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,german,12.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_lums,,,,No Match,0,0.0
Scientific Reports,Unopened,nigerian,75.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Opened,nigerian,21.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_nyu,6.0,3.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Unopened,nigerian,41.0,13.0,Physical Sciences,No Match,0,0.0
Nature Communications,Unopened,nigerian,99.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Opened,german,,,,No Match,0,0.0
Scientific Reports,Opened,pakistani_nyu,,,,No Match,1,1.0
Scientific Reports,Unopened,pakistani_lums,25.0,13.0,Life Sciences,No Match,0,0.0
Scientific Reports,Unopened,german,38.0,13.0,Life Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_nyu,21.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Opened,nigerian,10.0,13.0,Health Sciences,No Match,1,1.0
Scientific Reports,Unopened,pakistani_nyu,,,,No Match,0,0.0
Scientific Reports,Opened,german,12.0,12.0,Health Sciences,No Match,0,0.0
Nature Communications,Opened,german,76.0,13.0,Health Sciences,Match German,0,0.0
Scientific Reports,Opened,german,,,,No Match,0,0.0
Nature Communications,Unopened,nigerian,68.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,german,14.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_nyu,13.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Opened,german,,,,No Match,1,1.0
Scientific Reports,Unopened,pakistani_lums,6.0,8.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_nyu,11.0,4.0,Physical Sciences,Match Asian,0,0.0
Scientific Reports,Unopened,pakistani_lums,,,,No Match,0,0.0
Scientific Reports,Unopened,german,13.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_nyu,3.0,11.0,Health Sciences,No Match,0,0.0
Scientific Reports,Opened,german,26.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Opened,nigerian,14.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,german,2.0,4.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_lums,45.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,german,6.0,5.0,Life Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_nyu,18.0,13.0,Social Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_nyu,,,,No Match,0,0.0
Science Advances,Opened,german,16.0,13.0,Physical Sciences,No Match,1,1.0
Scientific Reports,Unopened,german,48.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,nigerian,,,,No Match,0,0.0
Scientific Reports,Unopened,pakistani_lums,29.0,13.0,Health Sciences,No Match,0,0.0
Nature Communications,Opened,german,37.0,13.0,Life Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_nyu,,,,No Match,0,0.0
Scientific Reports,Unopened,german,,,,No Match,0,0.0
Scientific Reports,Unopened,german,54.0,13.0,Life Sciences,No Match,0,0.0
Scientific Reports,Unopened,german,17.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_lums,12.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_nyu,43.0,13.0,Social Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_lums,,,,No Match,0,0.0
Scientific Reports,Unopened,nigerian,21.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Opened,nigerian,25.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_lums,9.0,12.0,Health Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_lums,6.0,5.0,Physical Sciences,No Match,0,0.0
Nature Communications,Opened,pakistani_nyu,39.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_nyu,42.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Opened,nigerian,7.0,6.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_nyu,21.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_nyu,18.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Opened,nigerian,1.0,11.0,Health Sciences,No Match,1,1.0
Scientific Reports,Unopened,german,,,,No Match,0,0.0
Scientific Reports,Unopened,pakistani_nyu,39.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_lums,25.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,german,48.0,13.0,,No Match,0,0.0
Scientific Reports,Opened,german,59.0,13.0,Health Sciences,No Match,1,0.0
Scientific Reports,Unopened,pakistani_nyu,3.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_nyu,18.0,10.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Unopened,nigerian,,,,No Match,0,0.0
Scientific Reports,Unopened,nigerian,,,,No Match,0,0.0
Scientific Reports,Unopened,nigerian,1.0,1.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_nyu,10.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Opened,nigerian,11.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_nyu,29.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Opened,nigerian,8.0,5.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,german,20.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,german,7.0,7.0,Life Sciences,No Match,0,0.0
Scientific Reports,Unopened,nigerian,10.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,german,11.0,13.0,Health Sciences,No Match,0,0.0
Nature Communications,Opened,nigerian,,,,No Match,0,0.0
Scientific Reports,Opened,pakistani_nyu,16.0,13.0,Life Sciences,No Match,0,0.0
Nature Communications,Unopened,german,8.0,10.0,Social Sciences,No Match,0,0.0
Nature Communications,Unopened,pakistani_lums,,,,No Match,0,0.0
Scientific Reports,Unopened,nigerian,3.0,5.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_nyu,,,,No Match,1,1.0
Scientific Reports,Unopened,german,19.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_lums,1.0,4.0,Life Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_nyu,19.0,13.0,Life Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_nyu,1.0,2.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Opened,nigerian,,,,No Match,0,0.0
Scientific Reports,Opened,pakistani_nyu,,,,No Match,0,0.0
Scientific Reports,Opened,pakistani_nyu,38.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,nigerian,,,,No Match,0,0.0
Scientific Reports,Unopened,pakistani_nyu,29.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_lums,,,,No Match,0,0.0
Scientific Reports,Unopened,pakistani_lums,33.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Unopened,german,7.0,13.0,Health Sciences,Match German,0,0.0
Scientific Reports,Opened,pakistani_lums,5.0,13.0,Physical Sciences,No Match,1,1.0
Nature Communications,Unopened,pakistani_nyu,96.0,13.0,Life Sciences,No Match,0,0.0
Scientific Reports,Unopened,nigerian,7.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,german,8.0,5.0,Life Sciences,Match German,0,0.0
Scientific Reports,Unopened,pakistani_lums,2.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_lums,26.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Opened,nigerian,,,,No Match,0,0.0
Nature Communications,Unopened,pakistani_lums,90.0,13.0,Life Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_nyu,,,,No Match,0,0.0
Scientific Reports,Opened,german,42.0,13.0,Health Sciences,No Match,0,0.0
Nature Communications,Opened,german,60.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,german,,,,No Match,0,0.0
Scientific Reports,Opened,pakistani_lums,10.0,12.0,Health Sciences,No Match,0,0.0
Nature Communications,Unopened,german,53.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_lums,18.0,8.0,Health Sciences,No Match,1,1.0
Scientific Reports,Unopened,german,7.0,9.0,Life Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_nyu,,,,No Match,0,0.0
Scientific Reports,Opened,pakistani_nyu,39.0,13.0,Physical Sciences,No Match,1,1.0
Scientific Reports,Unopened,pakistani_lums,,,,No Match,0,0.0
Scientific Reports,Unopened,german,2.0,3.0,Health Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_lums,24.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_lums,,,,No Match,0,0.0
Scientific Reports,Opened,nigerian,8.0,12.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,nigerian,10.0,7.0,Life Sciences,Match Nigerian,0,0.0
Scientific Reports,Unopened,pakistani_lums,22.0,13.0,Life Sciences,No Match,0,0.0
Scientific Reports,Unopened,nigerian,19.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_lums,4.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_nyu,35.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_nyu,63.0,13.0,Life Sciences,No Match,1,1.0
Scientific Reports,Unopened,nigerian,24.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Opened,german,3.0,5.0,Health Sciences,No Match,0,0.0
Scientific Reports,Opened,nigerian,22.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_lums,17.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,nigerian,,,,No Match,0,0.0
Scientific Reports,Opened,nigerian,,,,No Match,0,0.0
Scientific Reports,Unopened,pakistani_lums,7.0,8.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_nyu,7.0,13.0,Social Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_lums,,,,No Match,0,0.0
Scientific Reports,Opened,pakistani_lums,16.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_lums,,,,No Match,0,0.0
Scientific Reports,Unopened,nigerian,39.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_lums,52.0,13.0,Physical Sciences,Match Asian,0,0.0
Scientific Reports,Unopened,nigerian,,,,No Match,0,0.0
Scientific Reports,Opened,pakistani_nyu,63.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_nyu,7.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Opened,german,19.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_lums,,,,No Match,0,0.0
Scientific Reports,Opened,nigerian,4.0,10.0,Health Sciences,No Match,0,0.0
Nature Communications,Unopened,german,13.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_lums,15.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Opened,nigerian,56.0,13.0,Life Sciences,No Match,0,0.0
Scientific Reports,Unopened,nigerian,,,,No Match,0,0.0
Scientific Reports,Unopened,german,73.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_lums,5.0,9.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Unopened,german,5.0,12.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,nigerian,18.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Opened,german,,,,No Match,0,0.0
Scientific Reports,Opened,pakistani_nyu,4.0,3.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_nyu,14.0,13.0,Life Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_nyu,17.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,german,6.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_lums,39.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_nyu,,,,No Match,0,0.0
Scientific Reports,Opened,pakistani_lums,,,,No Match,0,0.0
Scientific Reports,Opened,pakistani_nyu,9.0,7.0,Life Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_lums,4.0,10.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_lums,69.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Opened,german,9.0,7.0,Physical Sciences,Match German,1,1.0
Scientific Reports,Unopened,pakistani_nyu,3.0,11.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_nyu,21.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_lums,6.0,7.0,Physical Sciences,Match Asian,0,0.0
Scientific Reports,Unopened,pakistani_nyu,23.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,nigerian,37.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_nyu,,,,No Match,0,0.0
Scientific Reports,Opened,german,9.0,5.0,Life Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_lums,,,,No Match,0,0.0
Scientific Reports,Unopened,german,88.0,13.0,Life Sciences,No Match,0,0.0
Nature Communications,Unopened,german,27.0,13.0,Life Sciences,No Match,0,0.0
Scientific Reports,Unopened,german,,,,No Match,0,0.0
Scientific Reports,Unopened,nigerian,42.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Opened,german,11.0,13.0,Physical Sciences,No Match,1,0.0
Scientific Reports,Opened,pakistani_nyu,11.0,5.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Opened,nigerian,,,,No Match,0,0.0
Scientific Reports,Unopened,pakistani_lums,34.0,13.0,Life Sciences,No Match,0,0.0
Scientific Reports,Unopened,nigerian,3.0,2.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,german,77.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Opened,german,6.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_nyu,41.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,german,14.0,7.0,Life Sciences,No Match,0,0.0
Scientific Reports,Unopened,german,11.0,12.0,Life Sciences,No Match,0,0.0
Scientific Reports,Unopened,nigerian,26.0,13.0,Physical Sciences,Match Nigerian,0,0.0
Scientific Reports,Opened,german,16.0,13.0,Physical Sciences,No Match,0,0.0
