sender,sender_country,university_country,university_ranking,request_purpose,replied,paper_domain,h_index,academic_age
James Whitfield,England,South Africa,High,final course project,0,Health Sciences,8.0,
Kabelo Molefe,South Africa,England,High,journal article,1,,52.0,22.0
James Whitfield,England,England,High,final course project,0,Physical Sciences,17.0,22.0
James Whitfield,England,South Africa,Low,final course project,0,Health Sciences,54.0,39.0
James Whitfield,England,South Africa,Low,final course project,0,Life Sciences,83.0,29.0
James Whitfield,England,England,High,journal article,0,Life Sciences,25.0,40.0
James Whitfield,England,England,Low,journal article,1,Physical Sciences,35.0,22.0
James Whitfield,England,South Africa,Low,journal article,0,Physical Sciences,48.0,26.0
Kabelo Molefe,South Africa,England,High,final course project,0,,21.0,21.0
Kabelo Molefe,South Africa,England,High,journal article,1,Life Sciences,110.0,
James Whitfield,England,England,Low,final course project,0,Life Sciences,61.0,41.0
Kabelo Molefe,South Africa,South Africa,Low,final course project,0,Health Sciences,57.0,37.0
James Whitfield,England,South Africa,High,final course project,0,Life Sciences,50.0,38.0
Kabelo Molefe,South Africa,South Africa,Low,journal article,1,Physical Sciences,82.0,
James Whitfield,England,South Africa,High,journal article,1,Life Sciences,27.0,44.0
James Whitfield,England,England,Low,journal article,1,Health Sciences,62.0,24.0
James Whitfield,England,South Africa,High,journal article,1,Life Sciences,26.0,14.0
James Whitfield,England,England,Low,journal article,0,Life Sciences,35.0,27.0
Kabelo Molefe,South Africa,South Africa,Low,journal article,0,Health Sciences,32.0,
James Whitfield,England,England,Low,journal article,1,Physical Sciences,50.0,24.0
James Whitfield,England,England,High,final course project,0,Health Sciences,50.0,
Kabelo Molefe,South Africa,South Africa,High,journal article,0,Life Sciences,35.0,
Kabelo Molefe,South Africa,England,Low,final course project,0,Life Sciences,38.0,24.0
James Whitfield,England,England,Low,journal article,1,Health Sciences,60.0,
Kabelo Molefe,South Africa,South Africa,High,journal article,0,Physical Sciences,143.0,42.0
James Whitfield,England,England,Low,final course project,0,Health Sciences,90.0,
James Whitfield,England,South Africa,High,final course project,0,Life Sciences,27.0,22.0
Kabelo Molefe,South Africa,England,Low,final course project,0,Life Sciences,68.0,
Kabelo Molefe,South Africa,South Africa,Low,journal article,0,,,
Kabelo Molefe,South Africa,England,Low,journal article,0,Life Sciences,58.0,
James Whitfield,England,England,Low,journal article,0,Health Sciences,28.0,24.0
Kabelo Molefe,South Africa,South Africa,High,final course project,0,Life Sciences,32.0,20.0
Kabelo Molefe,South Africa,England,High,final course project,0,Life Sciences,77.0,39.0
Kabelo Molefe,South Africa,England,Low,journal article,0,Physical Sciences,37.0,
Kabelo Molefe,South Africa,England,Low,final course project,0,Life Sciences,10.0,10.0
James Whitfield,England,England,Low,journal article,0,Health Sciences,56.0,35.0
Kabelo Molefe,South Africa,England,Low,journal article,0,,,
Kabelo Molefe,South Africa,South Africa,Low,journal article,0,,33.0,25.0
Kabelo Molefe,South Africa,South Africa,High,final course project,0,Life Sciences,72.0,36.0
James Whitfield,England,England,High,final course project,1,Health Sciences,23.0,31.0
James Whitfield,England,South Africa,High,journal article,0,Life Sciences,28.0,30.0
James Whitfield,England,South Africa,High,final course project,0,Life Sciences,42.0,24.0
Kabelo Molefe,South Africa,South Africa,High,journal article,0,Physical Sciences,65.0,24.0
James Whitfield,England,England,High,final course project,0,Health Sciences,19.0,15.0
James Whitfield,England,South Africa,High,final course project,0,Life Sciences,60.0,33.0
James Whitfield,England,South Africa,High,journal article,0,Life Sciences,16.0,
Kabelo Molefe,South Africa,South Africa,High,final course project,0,Life Sciences,5.0,15.0
Kabelo Molefe,South Africa,England,Low,final course project,0,Life Sciences,78.0,35.0
Kabelo Molefe,South Africa,England,Low,final course project,0,Life Sciences,21.0,29.0
James Whitfield,England,England,High,final course project,0,Life Sciences,30.0,49.0
James Whitfield,England,South Africa,High,journal article,0,Life Sciences,3.0,4.0
James Whitfield,England,England,Low,journal article,0,Life Sciences,78.0,48.0
Kabelo Molefe,South Africa,South Africa,Low,journal article,0,,107.0,41.0
Kabelo Molefe,South Africa,South Africa,High,journal article,1,Life Sciences,72.0,33.0
Kabelo Molefe,South Africa,England,Low,journal article,0,,102.0,
James Whitfield,England,South Africa,Low,journal article,0,Health Sciences,47.0,42.0
James Whitfield,England,South Africa,Low,journal article,0,Life Sciences,42.0,28.0
Kabelo Molefe,South Africa,South Africa,High,journal article,0,Social Sciences,5.0,10.0
Kabelo Molefe,South Africa,England,High,final course project,0,Life Sciences,58.0,48.0
Kabelo Molefe,South Africa,South Africa,Low,final course project,0,Physical Sciences,45.0,27.0
James Whitfield,England,South Africa,High,journal article,0,Health Sciences,44.0,27.0
Kabelo Molefe,South Africa,England,Low,final course project,0,,71.0,46.0
Kabelo Molefe,South Africa,South Africa,High,final course project,0,Life Sciences,52.0,44.0
James Whitfield,England,England,High,final course project,0,Life Sciences,34.0,33.0
Kabelo Molefe,South Africa,England,High,journal article,0,Life Sciences,22.0,50.0
James Whitfield,England,England,High,final course project,1,Physical Sciences,63.0,47.0
James Whitfield,England,England,Low,journal article,0,Physical Sciences,35.0,19.0
James Whitfield,England,England,High,journal article,0,Health Sciences,26.0,29.0
James Whitfield,England,South Africa,Low,journal article,0,,,
James Whitfield,England,South Africa,Low,journal article,0,Life Sciences,34.0,34.0
James Whitfield,England,South Africa,Low,journal article,0,Physical Sciences,54.0,35.0
Kabelo Molefe,South Africa,South Africa,Low,final course project,0,Life Sciences,29.0,47.0
Kabelo Molefe,South Africa,England,High,journal article,0,Life Sciences,147.0,41.0
Kabelo Molefe,South Africa,South Africa,Low,journal article,0,Physical Sciences,14.0,23.0
Kabelo Molefe,South Africa,England,Low,journal article,0,Health Sciences,61.0,
Kabelo Molefe,South Africa,South Africa,High,final course project,0,Health Sciences,30.0,25.0
James Whitfield,England,South Africa,High,journal article,0,Life Sciences,42.0,34.0
Kabelo Molefe,South Africa,South Africa,Low,journal article,0,Physical Sciences,9.0,29.0
James Whitfield,England,South Africa,Low,journal article,0,Life Sciences,29.0,42.0
James Whitfield,England,England,Low,final course project,0,Physical Sciences,3.0,14.0
Kabelo Molefe,South Africa,South Africa,Low,journal article,0,Life Sciences,46.0,41.0
Kabelo Molefe,South Africa,England,High,journal article,0,Health Sciences,6.0,46.0
Kabelo Molefe,South Africa,South Africa,Low,journal article,0,Life Sciences,111.0,
James Whitfield,England,England,High,journal article,0,Life Sciences,20.0,16.0
James Whitfield,England,England,High,journal article,0,Health Sciences,49.0,37.0
James Whitfield,England,South Africa,High,journal article,0,Life Sciences,14.0,25.0
James Whitfield,England,England,Low,journal article,1,Life Sciences,39.0,40.0
Kabelo Molefe,South Africa,England,High,final course project,0,Physical Sciences,41.0,43.0
Kabelo Molefe,South Africa,England,Low,journal article,0,Health Sciences,39.0,
James Whitfield,England,South Africa,High,journal article,0,Life Sciences,61.0,
James Whitfield,England,England,High,final course project,0,Life Sciences,73.0,
Kabelo Molefe,South Africa,South Africa,High,final course project,0,Physical Sciences,65.0,
Kabelo Molefe,South Africa,England,Low,final course project,0,Physical Sciences,28.0,19.0
James Whitfield,England,England,Low,journal article,0,Life Sciences,172.0,35.0
James Whitfield,England,South Africa,High,final course project,0,Physical Sciences,13.0,29.0
Kabelo Molefe,South Africa,South Africa,High,final course project,0,Life Sciences,47.0,21.0
James Whitfield,England,South Africa,High,final course project,0,Life Sciences,19.0,44.0
James Whitfield,England,England,High,journal article,0,Life Sciences,43.0,24.0
Kabelo Molefe,South Africa,England,Low,journal article,0,Physical Sciences,51.0,33.0
James Whitfield,England,South Africa,High,journal article,0,Life Sciences,60.0,
James Whitfield,England,South Africa,High,final course project,0,Health Sciences,63.0,47.0
Kabelo Molefe,South Africa,England,High,journal article,0,Health Sciences,83.0,27.0
Kabelo Molefe,South Africa,South Africa,Low,journal article,0,Life Sciences,49.0,
Kabelo Molefe,South Africa,South Africa,Low,journal article,0,Life Sciences,31.0,31.0
Kabelo Molefe,South Africa,South Africa,High,final course project,0,,,
James Whitfield,England,England,High,journal article,0,Health Sciences,46.0,25.0
Kabelo Molefe,South Africa,England,Low,journal article,0,Physical Sciences,57.0,50.0
James Whitfield,England,South Africa,High,final course project,0,Life Sciences,35.0,29.0
James Whitfield,England,England,Low,final course project,0,Physical Sciences,163.0,42.0
Kabelo Molefe,South Africa,England,Low,final course project,0,Life Sciences,103.0,34.0
James Whitfield,England,England,High,journal article,0,Physical Sciences,28.0,23.0
Kabelo Molefe,South Africa,South Africa,Low,final course project,0,Physical Sciences,64.0,41.0
James Whitfield,England,England,Low,final course project,1,Physical Sciences,119.0,26.0
Kabelo Molefe,South Africa,South Africa,Low,journal article,0,Life Sciences,22.0,
James Whitfield,England,England,High,final course project,0,Life Sciences,25.0,40.0
James Whitfield,England,South Africa,Low,final course project,0,Health Sciences,29.0,24.0
Kabelo Molefe,South Africa,South Africa,Low,journal article,0,Health Sciences,61.0,35.0
James Whitfield,England,England,Low,journal article,0,Life Sciences,39.0,28.0
Kabelo Molefe,South Africa,England,Low,final course project,0,Health Sciences,23.0,17.0
Kabelo Molefe,South Africa,South Africa,Low,journal article,1,Health Sciences,76.0,
James Whitfield,England,England,Low,final course project,0,Life Sciences,79.0,
Kabelo Molefe,South Africa,South Africa,Low,final course project,0,Life Sciences,51.0,34.0
Kabelo Molefe,South Africa,South Africa,High,journal article,0,Life Sciences,27.0,31.0
James Whitfield,England,South Africa,Low,final course project,0,Life Sciences,72.0,37.0
Kabelo Molefe,South Africa,South Africa,Low,journal article,0,Physical Sciences,72.0,29.0
Kabelo Molefe,South Africa,South Africa,High,journal article,0,Physical Sciences,41.0,35.0
James Whitfield,England,South Africa,Low,journal article,0,Life Sciences,21.0,25.0
James Whitfield,England,South Africa,High,final course project,0,,,
Kabelo Molefe,South Africa,South Africa,Low,final course project,0,,19.0,20.0
Kabelo Molefe,South Africa,South Africa,Low,final course project,0,Life Sciences,57.0,26.0
Kabelo Molefe,South Africa,England,High,journal article,0,Life Sciences,87.0,49.0
James Whitfield,England,South Africa,High,final course project,0,Life Sciences,14.0,15.0
Kabelo Molefe,South Africa,England,High,final course project,1,,,
Kabelo Molefe,South Africa,England,High,final course project,0,Life Sciences,32.0,25.0
Kabelo Molefe,South Africa,England,High,final course project,0,Life Sciences,27.0,22.0
James Whitfield,England,England,Low,journal article,0,Life Sciences,72.0,44.0
James Whitfield,England,South Africa,High,journal article,0,Physical Sciences,42.0,
James Whitfield,England,England,High,final course project,0,Physical Sciences,77.0,
James Whitfield,England,South Africa,High,journal article,0,Health Sciences,25.0,32.0
Kabelo Molefe,South Africa,South Africa,Low,final course project,0,Physical Sciences,74.0,24.0
James Whitfield,England,England,Low,final course project,1,Life Sciences,3.0,10.0
James Whitfield,England,England,High,final course project,1,Physical Sciences,6.0,26.0
James Whitfield,England,England,Low,final course project,0,Health Sciences,23.0,
Kabelo Molefe,South Africa,South Africa,High,final course project,0,,41.0,49.0
James Whitfield,England,South Africa,Low,journal article,0,Life Sciences,108.0,42.0
Kabelo Molefe,South Africa,England,High,journal article,0,Physical Sciences,23.0,39.0
James Whitfield,England,South Africa,Low,final course project,0,Physical Sciences,38.0,26.0
Kabelo Molefe,South Africa,South Africa,High,final course project,0,Life Sciences,166.0,
Kabelo Molefe,South Africa,South Africa,Low,journal article,0,Life Sciences,25.0,25.0
James Whitfield,England,South Africa,High,journal article,0,Health Sciences,39.0,32.0
James Whitfield,England,South Africa,High,journal article,0,Physical Sciences,17.0,42.0
Kabelo Molefe,South Africa,South Africa,Low,journal article,0,Life Sciences,49.0,23.0
James Whitfield,England,England,High,journal article,0,Health Sciences,54.0,40.0
Kabelo Molefe,South Africa,England,Low,journal article,0,Life Sciences,72.0,39.0
James Whitfield,England,England,Low,journal article,0,Health Sciences,37.0,25.0
Kabelo Molefe,South Africa,South Africa,Low,final course project,0,Life Sciences,103.0,
Kabelo Molefe,South Africa,England,High,final course project,0,Life Sciences,102.0,38.0
James Whitfield,England,England,High,final course project,0,Life Sciences,43.0,30.0
Kabelo Molefe,South Africa,England,High,final course project,0,Social Sciences,41.0,30.0
James Whitfield,England,South Africa,Low,final course project,0,Physical Sciences,43.0,34.0
James Whitfield,England,South Africa,High,final course project,0,Physical Sciences,46.0,
James Whitfield,England,South Africa,High,journal article,0,Physical Sciences,44.0,
Kabelo Molefe,South Africa,South Africa,Low,journal article,0,Life Sciences,97.0,29.0
James Whitfield,England,South Africa,High,final course project,1,Physical Sciences,26.0,20.0
James Whitfield,England,South Africa,Low,journal article,0,Health Sciences,55.0,26.0
Kabelo Molefe,South Africa,South Africa,Low,journal article,0,,29.0,29.0
James Whitfield,England,England,Low,journal article,0,Physical Sciences,45.0,33.0
Kabelo Molefe,South Africa,England,Low,final course project,0,Life Sciences,57.0,
James Whitfield,England,England,High,journal article,1,Physical Sciences,30.0,22.0
James Whitfield,England,England,Low,final course project,0,Health Sciences,28.0,
Kabelo Molefe,South Africa,England,Low,journal article,0,Physical Sciences,75.0,29.0
Kabelo Molefe,South Africa,England,Low,final course project,0,Physical Sciences,119.0,26.0
James Whitfield,England,England,Low,journal article,0,Health Sciences,73.0,38.0
Kabelo Molefe,South Africa,England,Low,final course project,0,Physical Sciences,26.0,31.0
James Whitfield,England,England,Low,journal article,0,Health Sciences,41.0,24.0
Kabelo Molefe,South Africa,England,High,final course project,0,Physical Sciences,36.0,22.0
Kabelo Molefe,South Africa,England,High,final course project,0,Physical Sciences,17.0,37.0
James Whitfield,England,England,Low,journal article,0,Life Sciences,52.0,
James Whitfield,England,England,Low,journal article,0,Physical Sciences,28.0,19.0
James Whitfield,England,England,High,final course project,0,Physical Sciences,14.0,5.0
James Whitfield,England,England,High,journal article,0,Life Sciences,39.0,24.0
James Whitfield,England,South Africa,Low,journal article,0,Physical Sciences,110.0,
James Whitfield,England,England,Low,final course project,0,Health Sciences,57.0,35.0
Kabelo Molefe,South Africa,South Africa,High,final course project,0,,74.0,
James Whitfield,England,England,High,final course project,0,Physical Sciences,9.0,9.0
Kabelo Molefe,South Africa,South Africa,High,journal article,0,,24.0,19.0
James Whitfield,England,South Africa,High,journal article,0,Life Sciences,38.0,27.0
James Whitfield,England,England,High,journal article,0,Physical Sciences,85.0,20.0
Kabelo Molefe,South Africa,England,Low,final course project,0,,20.0,32.0
James Whitfield,England,South Africa,High,final course project,0,Health Sciences,32.0,18.0
Kabelo Molefe,South Africa,England,High,journal article,0,Physical Sciences,58.0,28.0
James Whitfield,England,South Africa,Low,final course project,0,Health Sciences,35.0,39.0
James Whitfield,England,England,Low,final course project,0,Life Sciences,82.0,
Kabelo Molefe,South Africa,England,High,final course project,0,Physical Sciences,33.0,35.0
James Whitfield,England,England,Low,journal article,1,Life Sciences,43.0,27.0
James Whitfield,England,South Africa,Low,journal article,0,Physical Sciences,8.0,5.0
Kabelo Molefe,South Africa,England,High,final course project,0,Life Sciences,56.0,24.0
Kabelo Molefe,South Africa,South Africa,Low,journal article,0,,27.0,25.0
James Whitfield,England,South Africa,Low,journal article,0,Life Sciences,32.0,27.0
James Whitfield,England,South Africa,Low,final course project,0,Life Sciences,59.0,
James Whitfield,England,South Africa,Low,journal article,0,Health Sciences,24.0,35.0
James Whitfield,England,South Africa,High,final course project,0,Life Sciences,16.0,20.0
Kabelo Molefe,South Africa,South Africa,Low,journal article,0,Physical Sciences,31.0,23.0
Kabelo Molefe,South Africa,South Africa,High,final course project,1,Life Sciences,44.0,28.0
Kabelo Molefe,South Africa,South Africa,Low,final course project,1,Life Sciences,78.0,30.0
Kabelo Molefe,South Africa,South Africa,High,journal article,0,Physical Sciences,44.0,20.0
Kabelo Molefe,South Africa,England,High,final course project,1,Health Sciences,69.0,
Kabelo Molefe,South Africa,South Africa,High,journal article,0,Life Sciences,17.0,37.0
Kabelo Molefe,South Africa,South Africa,Low,final course project,0,Physical Sciences,65.0,39.0
Kabelo Molefe,South Africa,South Africa,High,journal article,0,Physical Sciences,52.0,36.0
James Whitfield,England,England,High,journal article,0,Health Sciences,29.0,24.0
Kabelo Molefe,South Africa,England,Low,journal article,0,Life Sciences,26.0,38.0
Kabelo Molefe,South Africa,South Africa,High,journal article,0,,56.0,50.0
James Whitfield,England,South Africa,High,journal article,0,Physical Sciences,14.0,
Kabelo Molefe,South Africa,South Africa,Low,journal article,0,,,
James Whitfield,England,England,High,final course project,0,Life Sciences,26.0,21.0
James Whitfield,England,South Africa,High,final course project,0,Life Sciences,56.0,42.0
James Whitfield,England,England,Low,journal article,0,Physical Sciences,14.0,25.0
James Whitfield,England,England,Low,journal article,0,,,
James Whitfield,England,England,High,final course project,0,Physical Sciences,36.0,16.0
James Whitfield,England,South Africa,Low,journal article,0,Health Sciences,20.0,41.0
James Whitfield,England,South Africa,High,final course project,0,Life Sciences,95.0,38.0
Kabelo Molefe,South Africa,England,Low,final course project,0,Physical Sciences,110.0,38.0
Kabelo Molefe,South Africa,South Africa,Low,final course project,1,,,
James Whitfield,England,South Africa,Low,journal article,0,Life Sciences,59.0,20.0
Kabelo Molefe,South Africa,England,Low,final course project,0,,45.0,23.0
James Whitfield,England,England,Low,final course project,0,Life Sciences,7.0,18.0
James Whitfield,England,England,Low,final course project,0,,,
Kabelo Molefe,South Africa,South Africa,High,journal article,0,Physical Sciences,18.0,15.0
James Whitfield,England,England,Low,journal article,0,Life Sciences,55.0,27.0
Kabelo Molefe,South Africa,South Africa,Low,final course project,1,Physical Sciences,66.0,40.0
Kabelo Molefe,South Africa,South Africa,High,final course project,0,Life Sciences,39.0,19.0
James Whitfield,England,England,Low,final course project,0,Health Sciences,43.0,31.0
Kabelo Molefe,South Africa,South Africa,High,journal article,0,Life Sciences,82.0,30.0
James Whitfield,England,South Africa,Low,final course project,0,Health Sciences,25.0,
Kabelo Molefe,South Africa,South Africa,Low,journal article,0,Life Sciences,84.0,31.0
Kabelo Molefe,South Africa,South Africa,Low,final course project,0,Life Sciences,6.0,19.0
Kabelo Molefe,South Africa,South Africa,High,journal article,0,,20.0,18.0
Kabelo Molefe,South Africa,South Africa,High,journal article,1,Physical Sciences,20.0,15.0
James Whitfield,England,South Africa,High,journal article,1,Physical Sciences,26.0,19.0
James Whitfield,England,England,High,journal article,0,Life Sciences,50.0,30.0
Kabelo Molefe,South Africa,South Africa,High,journal article,0,Physical Sciences,49.0,23.0
James Whitfield,England,South Africa,High,journal article,0,Life Sciences,25.0,20.0
James Whitfield,England,South Africa,High,journal article,0,Physical Sciences,33.0,
Kabelo Molefe,South Africa,South Africa,High,final course project,1,Health Sciences,64.0,42.0
James Whitfield,England,South Africa,Low,journal article,0,Life Sciences,24.0,35.0
James Whitfield,England,South Africa,Low,final course project,0,Physical Sciences,75.0,
Kabelo Molefe,South Africa,South Africa,High,journal article,0,Health Sciences,33.0,25.0
James Whitfield,England,England,Low,final course project,1,Social Sciences,60.0,
James Whitfield,England,England,High,final course project,1,Physical Sciences,,
Kabelo Molefe,South Africa,South Africa,High,journal article,0,Life Sciences,28.0,
Kabelo Molefe,South Africa,England,High,journal article,0,Physical Sciences,66.0,31.0
James Whitfield,England,South Africa,High,final course project,0,Physical Sciences,16.0,21.0
James Whitfield,England,South Africa,High,journal article,0,,,
James Whitfield,England,England,High,journal article,0,Health Sciences,38.0,27.0
James Whitfield,England,England,High,journal article,0,Life Sciences,77.0,34.0
James Whitfield,England,South Africa,High,journal article,0,Health Sciences,51.0,29.0
Kabelo Molefe,South Africa,England,Low,journal article,0,,32.0,26.0
Kabelo Molefe,South Africa,South Africa,Low,journal article,0,Physical Sciences,45.0,21.0
James Whitfield,England,South Africa,High,journal article,1,Life Sciences,45.0,28.0
James Whitfield,England,South Africa,Low,journal article,0,,,
James Whitfield,England,South Africa,High,final course project,0,Health Sciences,98.0,23.0
Kabelo Molefe,South Africa,South Africa,High,final course project,0,Physical Sciences,89.0,32.0
Kabelo Molefe,South Africa,South Africa,Low,final course project,0,Life Sciences,36.0,22.0
James Whitfield,England,England,High,final course project,0,Health Sciences,11.0,25.0
James Whitfield,England,South Africa,High,final course project,0,Physical Sciences,49.0,44.0
James Whitfield,England,England,Low,journal article,0,,,
Kabelo Molefe,South Africa,England,Low,final course project,0,Life Sciences,59.0,23.0
James Whitfield,England,South Africa,Low,final course project,0,Health Sciences,34.0,16.0
James Whitfield,England,England,Low,journal article,0,Physical Sciences,27.0,17.0
Kabelo Molefe,South Africa,South Africa,High,final course project,0,Life Sciences,34.0,25.0
James Whitfield,England,England,High,final course project,0,Physical Sciences,3.0,5.0
James Whitfield,England,England,Low,journal article,0,Health Sciences,58.0,33.0
James Whitfield,England,South Africa,High,final course project,1,Physical Sciences,140.0,29.0
James Whitfield,England,South Africa,Low,journal article,0,Physical Sciences,27.0,39.0
Kabelo Molefe,South Africa,South Africa,High,journal article,0,,213.0,
James Whitfield,England,England,Low,final course project,0,Life Sciences,45.0,46.0
James Whitfield,England,England,High,journal article,1,Life Sciences,48.0,27.0
Kabelo Molefe,South Africa,England,Low,final course project,0,Life Sciences,36.0,24.0
James Whitfield,England,South Africa,Low,final course project,0,Life Sciences,51.0,29.0
James Whitfield,England,South Africa,Low,final course project,0,Health Sciences,50.0,38.0
James Whitfield,England,South Africa,High,journal article,0,Life Sciences,41.0,37.0
James Whitfield,England,England,Low,journal article,0,Life Sciences,37.0,20.0
Kabelo Molefe,South Africa,South Africa,Low,final course project,0,Life Sciences,195.0,34.0
James Whitfield,England,England,High,journal article,0,Life Sciences,47.0,31.0
Kabelo Molefe,South Africa,South Africa,Low,final course project,0,Physical Sciences,23.0,30.0
James Whitfield,England,England,High,journal article,0,Physical Sciences,39.0,36.0
Kabelo Molefe,South Africa,England,High,journal article,0,Physical Sciences,36.0,25.0
James Whitfield,England,South Africa,Low,final course project,0,Health Sciences,15.0,16.0
James Whitfield,England,South Africa,High,final course project,1,Physical Sciences,72.0,23.0
Kabelo Molefe,South Africa,South Africa,Low,journal article,0,Life Sciences,26.0,20.0
Kabelo Molefe,South Africa,South Africa,High,journal article,0,,20.0,
James Whitfield,England,South Africa,High,journal article,0,Physical Sciences,30.0,28.0
Kabelo Molefe,South Africa,England,High,final course project,0,Life Sciences,27.0,29.0
Kabelo Molefe,South Africa,South Africa,Low,final course project,0,Life Sciences,32.0,28.0
James Whitfield,England,England,Low,journal article,0,Physical Sciences,34.0,20.0
Kabelo Molefe,South Africa,South Africa,High,final course project,0,Physical Sciences,53.0,40.0
James Whitfield,England,South Africa,Low,final course project,1,Physical Sciences,55.0,
James Whitfield,England,South Africa,High,final course project,0,Health Sciences,76.0,
Kabelo Molefe,South Africa,South Africa,High,final course project,0,Life Sciences,17.0,20.0
James Whitfield,England,England,Low,journal article,0,Health Sciences,39.0,
Kabelo Molefe,South Africa,South Africa,Low,journal article,0,Physical Sciences,74.0,25.0
James Whitfield,England,South Africa,Low,journal article,0,Life Sciences,53.0,
James Whitfield,England,South Africa,High,final course project,1,Physical Sciences,87.0,31.0
Kabelo Molefe,South Africa,South Africa,High,journal article,0,Physical Sciences,33.0,41.0
Kabelo Molefe,South Africa,England,High,journal article,0,Health Sciences,32.0,25.0
James Whitfield,England,South Africa,High,final course project,0,Physical Sciences,24.0,15.0
James Whitfield,England,South Africa,Low,final course project,0,Health Sciences,49.0,24.0
James Whitfield,England,England,High,final course project,1,Health Sciences,38.0,23.0
Kabelo Molefe,South Africa,England,Low,journal article,0,Health Sciences,159.0,
James Whitfield,England,England,High,journal article,0,Physical Sciences,49.0,42.0
James Whitfield,England,England,Low,final course project,0,Life Sciences,46.0,22.0
James Whitfield,England,England,High,journal article,0,Life Sciences,45.0,39.0
Kabelo Molefe,South Africa,South Africa,High,journal article,0,,121.0,27.0
Kabelo Molefe,South Africa,South Africa,High,journal article,1,,60.0,25.0
James Whitfield,England,England,High,final course project,0,Physical Sciences,14.0,11.0
James Whitfield,England,England,High,journal article,1,Physical Sciences,44.0,35.0
James Whitfield,England,South Africa,High,final course project,0,Life Sciences,18.0,16.0
Kabelo Molefe,South Africa,England,High,final course project,0,Physical Sciences,102.0,28.0
James Whitfield,England,South Africa,High,final course project,0,Physical Sciences,36.0,27.0
James Whitfield,England,England,Low,journal article,0,,,
James Whitfield,England,England,Low,journal article,0,Health Sciences,113.0,
Kabelo Molefe,South Africa,South Africa,High,final course project,0,Life Sciences,77.0,37.0
Kabelo Molefe,South Africa,South Africa,High,final course project,0,Life Sciences,32.0,29.0
James Whitfield,England,South Africa,High,final course project,0,Physical Sciences,27.0,19.0
Kabelo Molefe,South Africa,England,High,final course project,0,,114.0,50.0
James Whitfield,England,England,High,journal article,0,Life Sciences,33.0,24.0
Kabelo Molefe,South Africa,South Africa,High,final course project,0,Life Sciences,18.0,11.0
Kabelo Molefe,South Africa,England,High,final course project,1,Life Sciences,48.0,24.0
James Whitfield,England,South Africa,High,journal article,0,Health Sciences,33.0,21.0
James Whitfield,England,South Africa,Low,journal article,0,Life Sciences,59.0,26.0
Kabelo Molefe,South Africa,England,Low,journal article,0,Health Sciences,41.0,30.0
